data,name
"[(-2.54213721e8, -6.2068678e7), (-2.54213818e8, -6.2067406e7), (-2.54213814e8, -6.2066305e7), (-2.54213329e8, -6.2065982e7), (-2.54212646e8, -6.2066615e7), (-2.54211457e8, -6.2067188e7), (-2.54212486e8, -6.2067897e7), (-2.54213164e8, -6.20683e7)]",test
"[(-2.54212275e8, -6.2069048e7), (-2.54212486e8, -6.2067897e7), (-2.54208518e8, -6.206516e7), (-2.54208397e8, -6.2065214e7), (-2.54208022e8, -6.2065381e7), (-2.54207612e8, -6.2065564e7), (-2.54207229e8, -6.2065735e7), (-2.54211202e8, -6.2068344e7)]",test
